id,subfield,subfield_name,title,first_author,venue,year,tier,arxiv_id,doi,url,one_line_summary
V2-001,1,非平稳/分布漂移/归一化/TTA时序预测,Does Normalization Choice Matter for Causal Large Time-Series Models?,Samy-Melwan Vilhes,ICLR 2026,2026,CCF-A,2606.09954,,https://arxiv.org/abs/2606.09954,系统评估因果自回归大时序模型中各类归一化策略（含因果归一化与初始统计量方案）对非平稳性与未来信息泄漏的影响，给出实践性结论。
V2-002,1,非平稳/分布漂移/归一化/TTA时序预测,Stationarity-Aware Retrieval-Augmented Time Series Forecasting,Shiqiao Zhou,KDD 2026,2026,CCF-A,2606.04135,,https://arxiv.org/abs/2606.04135,针对相似历史片段未必对应相似未来的非平稳检索脆弱性，提出平稳性感知检索增强预测框架 SARAF，在检索中自适应平衡相关性与多样性。
V2-003,1,非平稳/分布漂移/归一化/TTA时序预测,Modeling Dynamic Mixtures of Time-Delay Systems from Streaming Time Series,Ren Fujiwara,IJCAI 2026,2026,CCF-A,2605.26191,,https://arxiv.org/abs/2605.26191,针对流式时序中机制切换与输入延迟变化导致的模型退化，提出将数据流建模为时延系统动态混合的在线框架，用定长摘要张量概括历史机制。
V2-004,1,非平稳/分布漂移/归一化/TTA时序预测,Parametric Prior Mapping Framework for Non-stationary Probabilistic Time Series Forecasting,Jinglin Li,ICML 2026,2026,CCF-A,2605.23402,,https://arxiv.org/abs/2605.23402,针对非平稳概率多元时序预测中表达力与稳健性的权衡，提出参数先验映射框架 PPM，将参数化结构先验经可学习映射注入生成式预测分布。
V2-005,1,非平稳/分布漂移/归一化/TTA时序预测,Dynamic TMoE: A Drift-Aware Dynamic Mixture of Experts Framework for Non-Stationary Time Series Forecasting,Jiawen Zhu,ICML 2026,2026,CCF-A,2605.20678,,https://arxiv.org/abs/2605.20678,针对固定专家池与无记忆路由难以适应突变机制切换的问题，提出漂移感知动态专家混合框架 Dynamic TMoE，用 MMD 检测漂移并动态增删异构专家。
V2-006,1,非平稳/分布漂移/归一化/TTA时序预测,Nested Spatio-Temporal Time Series Forecasting,Yinghao Ai,ICML 2026,2026,CCF-A,2605.16447,,https://arxiv.org/abs/2605.16447,针对噪声与非平稳条件下时空预测交互不可靠的问题，提出嵌套预测框架，以谱聚类构造语义区域并用宏观未来趋势自顶向下指导细粒度预测。
V2-007,1,非平稳/分布漂移/归一化/TTA时序预测,DSPR: Dual-Stream Physics-Residual Networks for Trustworthy Industrial Time Series Forecasting,Yeran Zhang,KDD 2026,2026,CCF-A,2604.07393,,https://arxiv.org/abs/2604.07393,针对工业时序预测需兼顾精度与物理合理性的问题，提出双流物理-残差网络 DSPR，解耦稳定时间模式与机制相关残差动态并引入物理引导动态图。
V2-008,1,非平稳/分布漂移/归一化/TTA时序预测,Amortized Predictability-aware Training Framework for Time Series Forecasting and Classification,Xu Zhang,WWW 2026,2026,CCF-A,2602.16224,10.1145/3774904.3792637,https://arxiv.org/abs/2602.16224,针对低可预测性样本导致训练不稳定的问题，提出摊销式可预测性感知训练框架 APTF，使预测与分类模型聚焦高可预测性样本。
V2-009,1,非平稳/分布漂移/归一化/TTA时序预测,SimDiff: Simpler Yet Better Diffusion Model for Time Series Point Forecasting,Hang Ding,AAAI 2026,2026,CCF-A,2511.19256,10.48550/arXiv.2511.19256,https://arxiv.org/abs/2511.19256,针对扩散模型点预测精度不足的问题，提出更简洁的时序点预测扩散模型 SimDiff，改进上下文偏置注入以追踪分布漂移并平衡多样性与稳定性。
V2-010,1,非平稳/分布漂移/归一化/TTA时序预测,TTF: A Trapezoidal Temporal Fusion Framework for LTV Forecasting in Douyin,Yibing Wan,AAAI 2026,2026,CCF-A,2511.17639,10.48550/arXiv.2511.17639,https://arxiv.org/abs/2511.17639,针对抖音渠道级 LTV 预测中的不对齐多序列、短输入长输出与非平稳挑战，提出梯形时间融合框架 TTF。
V2-011,1,非平稳/分布漂移/归一化/TTA时序预测,ReCast: Reliability-aware Codebook Assisted Lightweight Time Series Forecasting,Xiang Ma,AAAI 2026,2026,CCF-A,2511.11991,10.48550/arXiv.2511.11991,https://arxiv.org/abs/2511.11991,针对全局分解在局部复杂动态模式下失效且模型过重的问题，提出可靠性感知码本辅助的轻量预测框架 ReCast，用 patch 级量化编码复现局部形状。
V2-012,1,非平稳/分布漂移/归一化/TTA时序预测,Towards Non-Stationary Time Series Forecasting with Temporal Stabilization and Frequency Differencing,Junkai Lu,AAAI 2026,2026,CCF-A,2511.08229,10.1609/aaai.v40i29.39585,https://arxiv.org/abs/2511.08229,针对时序的时间分布漂移与频谱变化，提出双分支框架 DTAF：时域用非平稳专家混合滤波稳定化，频域用频率差分突出频谱漂移成分。
V2-013,1,非平稳/分布漂移/归一化/TTA时序预测,DoFlow: Flow-based Generative Models for Interventional and Counterfactual Forecasting on Time Series,Dongze Wu,ICLR 2026,2026,CCF-A,2511.02137,,https://arxiv.org/abs/2511.02137,提出定义在因果 DAG 上的流式生成模型 DoFlow，经连续正则化流统一给出观测、干预与反事实预测并附反事实恢复理论。
V2-014,1,非平稳/分布漂移/归一化/TTA时序预测,Conditionally Whitened Generative Models for Probabilistic Time Series Forecasting,Yanfeng Yang,ICLR 2026,2026,CCF-A,2509.20928,,https://arxiv.org/abs/2509.20928,针对生成式概率预测忽略条件均值/协方差先验的问题，提出条件白化生成模型 CW-Gen，用联合均值-协方差估计器改造扩散终端分布。
V2-015,1,非平稳/分布漂移/归一化/TTA时序预测,EventTSF: Event-Aware Non-Stationary Time Series Forecasting,Yunfeng Ge,IJCAI 2026,2026,CCF-A,2508.13434,,https://arxiv.org/abs/2508.13434,针对外部文本事件与非平稳时序联合建模的空白，提出事件感知非平稳预测框架 EventTSF，统一离散事件与连续时序交互并按事件调节扩散去噪难度。
V2-016,1,非平稳/分布漂移/归一化/TTA时序预测,Flow based approach for Dynamic Temporal Causal models with non-Gaussian or Heteroscedastic Noises,Abdellah Rahmani,NeurIPS 2025,2025,CCF-A,2506.17065,,https://arxiv.org/abs/2506.17065,针对多机制时序中各机制因果图不同且噪声非高斯/异方差的因果发现难题，提出基于流的统一框架 FANTOM 联合推断机制切换与因果结构。
V2-017,1,非平稳/分布漂移/归一化/TTA时序预测,Lyapunov Learning at the Onset of Chaos,Matteo Benati,ICML 2025,2025,CCF-A,2506.12810,,https://arxiv.org/abs/2506.12810,针对在线学习中机制切换破坏既有知识的问题，提出 Lyapunov Learning 训练算法，利用混沌动力系统临界特性使网络快速适应新范式。
V2-018,1,非平稳/分布漂移/归一化/TTA时序预测,Neural MJD: Neural Non-Stationary Merton Jump Diffusion for Time Series Prediction,Yuanpei Gao,NeurIPS 2025,2025,CCF-A,2506.04542,10.48550/arXiv.2506.04542,https://arxiv.org/abs/2506.04542,针对非平稳与突变场景下黑箱模型泛化差的问题，提出神经非平稳 Merton 跳跃扩散模型 Neural MJD，将预测形式化为含复合泊松跳跃的 SDE 模拟。
V2-019,1,非平稳/分布漂移/归一化/TTA时序预测,Improving Time Series Forecasting via Instance-aware Post-hoc Revision,Zhiding Liu,NeurIPS 2025,2025,CCF-A,2505.23583,,https://arxiv.org/abs/2505.23583,针对分布漂移、缺失与长尾导致的实例级预测偏差，提出模型无关的事后识别-修正框架 PIR，先估计实例精度再用上下文信息修正预测。
V2-020,1,非平稳/分布漂移/归一化/TTA时序预测,Ellipsoidal Time Series Forecasting,Qilin Wang,ICML 2026,2026,CCF-A,2505.17370,,https://arxiv.org/abs/2505.17370,主张长期预测需学习含显式谱结构的局部雅可比，提出 Fern：以 Brenier 定理将预测参数化为高斯源到数据椭球的最优传输，并给出非平稳冲击基准与 EPT 指标。
